4,INTROD A LA CIENCIA POLITICA
4,INST POLITICAS Y CONSTITUCION
4,INT RELACIONES INTERNALES
4,PLAN INV INDEPENDIENTE III
4,SEMINARIO DE INVESTIGACION I
5,FUNDAMENTOS DE PUBLICIDAD
5,T DIS 2- DISENO TIPOGRAFICO
5,DISENO DIGITAL I
5,DISENO AMBIENTAL
5,ESTETICA
5,DISENO DIGITAL II
5,FOTOGRAFIA PUBLICITARIA
5,REALIZACION AUDIVISUAL I
5,PRE-PRENSA E IMPRESION
5,REALIZACION AUDIVISUAL II
5,TALLER DE REALIZACION
5,ILUSTRACION
5,METODOLOGIA PROYECTUAL
5,TALLER DE CREATIVIDAD
5,TALLER DE EXPRESION 4
5,TALLER DE EXPRESION 3- COLOR
5,T DIS 3- DISENO EDITORIAL
5,T DIS 5- IDENTIDAD VISUAL
5,TALLER DI 4 DISENO WEB
5,T DIS 6- EMPAQUES/PIEZAS PROM
5,ERGONOMIA
5,INVESTIGACION DE TENDENCIAS
5,MATERIALES Y PROCESOS I
5,MATERIALES Y PROCESOS II
5,DISENO DE EXP DE USUARIO UX
5,TALLER DE COMPOSICION II
5,TALLER DE EXPRESION 2
5,CONSTRUCCION DE MODELOS
5,ECOLOGIA DEL DISENO
5,TALLER DISENO TECNOLOGICO
5,GESTION DEL DISENO
5,TALLER DE FACTORES HUMANOS
5,TALLER DLLO NUEVOS PRODUCTOS
5,TALLER PRODUCCION INDUSTRIAL
5,MODPARAMETPROTOTIPADO RAPIDO
5,DISENO DE INTERIORES
5,DISENO INTERACTIVO MULTIMEDIA
5,DISENO Y ARTESANIA
5,PROYECTO DE GRADO
5,DISENO Y MERCADEO
5,PRACTICAS PROFESIONALES
5,T DIS 1- TEORIA DEL DISENO
5,HISTORIA DEL DISENO
5,TALLER DE COMPOSICION I
5,TEORIA DEL DISENO I
5,TALLER DE EXPRESION 1
6,FIL Y MODELOS PEDAGOGICOS
6,EDUCACION SOCIAL
6,INVESTIGACION I
6,SER DOCENTE SER MAESTRO
6,MEDIACIONES EN EDUCACION
6,INVEST DE ENFASIS COGNIC III
6,INVEST ENFASIS INFANTIL III
6,INVEST ENFASIS LENGUAJE III
6,INVEST DE ENFASIS MEDIOS III
6,INVEST DE ENFASIS MATEMAT III
6,FUND TEORICOS DE INVESTIGACION
6,INTROD MODALIDAD VIRTUAL
6,TIC Y EDUCACION
6,E-LEARNING
6,INVESTIGACION EN EDUCACION
6,SOCIOLOGIA Y EDUCACION
6,PEDAGOGIA SOCIAL
6,POLITICAS AMBITO SOCIAL
6,ESC INTERVEN INF ADOLESCEN
6,INTERVEN E INVESTIGACION
6,INVESTIGACION III
6,INVESTIGACION IV
6,INVESTIGACION V
6,INVESTIGACION VI
6,INVESTIGACION VII
6,INVESTIGACION VIII
6,FILOSOFIA Y EDUCACION
6,DIDAC DEL PENSAMIETO GEOM-MET
6,DIDAC DEL PENSAMIENTO NUM-VARI
6,EDUCACION EN EL CARIBE
6,CONDICIONES SOCIALES INFANCIA
6,EVALUACION EDUCATIVA
6,ORGANIZACION CENTRO ESCOLAR
6,DIDAC DE LA LECTOESCRITURA
6,MEDIACIONES EN EDUCACION
6,DIDAC  PREGUNTA Y DLLO PENS
6,DESARROLLO DEL LENGUAJE
6,EDUCACION INTERCULTURAL
6,CUIDADO INFANTIL
6,DESARROLLO MOTRIZ
6,EPISTEMOLOGIA DE LA PEDAGOGIA
6,DESARROLLO DEL PENSAMIENTO
6,INVESTIGACION EDUCATIVA I
6,JUEGO LUDICA Y EDUCACION
6,FAMILIA ESCUELA Y SOCIEDAD
6,INVESTIGACION EDUCATIVA II
6,MODELOS PEDAGOGICOS
6,DIDACTICA EN EDUCACION INFANTI
6,DLLO DE LENGUAJE EXPRESIVOS II
6,DLLO DE LENGUAJE EXPRESIVOS I
6,EXAMEN COMPRENSIVO I
6,DESARROLLO SOCIOAFECTIVO
6,EXPERIENCIA  EN INFANCIA Y FAM
6,INCLUSION Y EDUCACION
6,EXPERIENCIA EN INFANCIA Y ESCU
6,GERENCIA DE PROYECTOS EDUCATIV
6,MEDIACIONES EN EDUCACION Y TIC
6,EXPERIENCIA EN GESTION SOCIAL
6,EXAMEN COMPRENSIVO II
6,TEORIA Y DISENO CURRICULAR
6,PLANEACION Y ORG E-LEARNING
6,AUTOCONOCIMIENTO Y SENSIBILID
6,ESTUDIOS SOBRE INFANCIA  MUNDO
6,COMO LEER  MEDIOS MASIVOS?
6,PRACTICA PROFESIONAL
6,HISTORIA DE LA PEDAGOGIA
6,EDUCACION Y APRENDIZAJE
6,DIDACTICA DEL PENSAMIENTO ALEA
6,DIDACTICA DE LA FILOSOFIA
6,INVEST DE ENFASIS COGNIC IV
